0.0, 0.0, 89.999992)
9.917291, -12.15325, 2.689345)
9.843258, -12.479267, 3.162228)
9.838525, -12.525197, 3.175029)
9.827037, -12.772542, 3.194002)
9.782189, -12.854815, 3.177548)
9.862158, -12.873159, 3.249837)
9.732411, -12.89983, 3.427344)
9.285109, -13.09841, 3.60267)
8.931988, -13.256491, 3.846934)
8.547346, -13.791401, 4.100787)
8.023498, -14.565234, 4.233204)
7.751397, -15.0974, 4.356043)
7.782017, -15.310259, 4.470091)
7.825142, -15.336233, 4.478354)
7.730681, -15.311328, 4.516413)
7.380723, -15.230119, 4.71562)
7.240622, -15.029105, 4.780532)
7.090439, -14.686515, 4.97602)
7.400236, -14.524192, 4.9216)
7.869054, -14.351183, 4.835938)
8.169643, -13.950397, 4.738101)
8.44548, -13.23775, 4.574533)
8.498995, -12.521137, 4.433239)
8.275307, -11.996844, 4.162472)
8.043367, -12.12639, 3.744294)
7.87001, -12.594196, 3.566811)
7.674352, -12.853657, 3.712275)
7.653254, -12.807425, 4.313962)
6.929172, -12.609243, 5.303936)
5.734695, -12.901261, 6.161487)
4.872916, -13.364522, 7.232059)
4.471642, -13.674186, 7.661194)
2.946837, -15.08324, 8.78631)
1.785439, -17.212109, 9.43285)
2.08402, -19.20557, 9.056181)
2.444238, -20.24762, 8.973939)
2.716892, -19.928587, 8.940552)
3.017413, -18.523598, 8.899215)
3.61399, -17.239668, 8.917998)
4.953601, -16.171741, 8.551733)
6.456161, -14.869282, 7.973253)
7.606488, -13.283376, 7.630821)
8.616837, -11.398211, 7.327856)
9.619555, -10.097517, 7.096202)
10.625595, -8.798991, 6.88736)
11.634271, -7.501991, 6.701427)
11.693639, -4.585696, 7.757417)
11.793715, -4.037813, 8.367507)
12.351542, -3.997622, 8.602277)
13.264828, -4.588686, 8.43056)
13.476235, -5.398869, 8.44128)
13.168133, -5.98853, 8.423262)
12.773006, -6.350561, 8.931759)
12.041869, -6.801428, 9.674541)
10.952303, -7.726235, 10.34738)
10.605241, -8.924603, 10.942645)
11.234103, -9.549422, 11.534238)
12.135074, -9.46867, 12.025809)
12.683565, -8.990705, 12.440345)
12.854982, -8.532573, 12.774009)
12.855173, -8.41505, 12.769164)
12.846916, -8.387737, 12.812845)
12.990002, -8.387338, 12.616368)
13.164895, -8.252267, 12.388282)
13.214933, -8.159921, 12.241961)
13.042922, -7.983224, 12.16839)
13.012705, -7.658211, 12.289654)
12.810511, -7.778633, 12.494684)
12.571024, -8.30479, 12.658031)
12.519026, -8.440103, 12.887556)
12.694698, -8.818432, 12.769848)
12.970904, -9.280071, 12.5425)
13.013388, -9.569623, 12.273345)
12.706678, -9.804551, 12.138338)
12.490421, -10.154615, 12.119671)
12.616568, -10.640153, 11.957355)
13.137943, -11.268388, 11.542468)
13.625803, -11.393207, 11.142899)
13.538022, -11.204761, 10.506101)
13.535009, -10.67833, 9.487227)
13.613959, -9.602278, 8.625915)
12.84124, -8.878184, 8.152341)
11.546735, -8.574901, 7.961773)
10.978429, -8.757763, 7.96837)
10.901166, -8.838544, 8.259838)
10.701233, -8.949597, 8.513779)
10.67941, -9.711683, 8.38212)
11.529714, -10.241742, 7.677421)
12.208204, -9.308208, 7.403835)
12.053931, -9.029369, 6.064739)
13.074983, -9.044659, 4.619696)
14.439641, -7.57206, 4.633077)
14.390292, -6.199743, 4.648971)
13.340369, -5.599401, 5.743672)
13.029316, -5.077669, 7.295116)
13.84665, -4.310669, 8.548486)
15.233425, -3.33548, 8.859999)
16.463453, -3.081269, 7.914338)
17.549877, -2.665772, 5.120512)
17.541714, -2.414612, 2.172371)
17.428225, -3.044648, -1.081665)
17.813412, -2.965149, -3.182404)
18.201107, -2.900391, -5.287173)
18.590824, -2.850556, -7.396248)
18.051739, -2.532624, -3.704409)
19.525604, -3.109466, -2.759003)
20.76178, -3.61789, -2.426789)
22.015467, -1.846741, -0.547211)
22.90473, 0.585096, 1.544268)
22.708616, 4.018919, 4.223698)
22.039366, 7.242041, 6.632349)
22.290062, 9.137684, 7.842391)
22.224232, 10.22156, 8.759307)
22.601969, 11.517601, 8.974963)
23.413881, 13.618298, 8.811817)
23.474102, 14.404764, 9.169162)
23.472464, 14.784403, 9.604372)
23.552998, 13.440835, 10.410649)
22.904266, 11.983393, 11.551889)
22.725882, 11.396431, 12.729874)
22.704838, 11.881093, 14.047639)
22.546665, 12.33554, 14.707615)
22.32935, 12.997725, 15.493279)
22.565222, 14.184966, 15.521179)
23.245346, 15.484583, 15.525087)
24.389553, 16.661997, 15.836153)
25.662884, 17.442062, 15.813371)
26.701845, 18.22234, 16.051117)
27.605219, 18.869175, 16.915472)
27.749493, 19.979973, 18.185757)
26.821196, 19.627604, 18.254189)
26.085215, 19.267572, 19.00806)
25.796516, 19.261417, 19.931437)
